"id","date_insert","year","month","day","hour","sensor_id","lat","lng","wtempV_°C","conductivity_of_solution_ mS_cm","oxidation_reduction_potential_ mV","total_suspended_solids_mg_L","turbidity_NTU","dissolved_oxygen_concentration _ppm","dissolved_oxygen_concentration_mg_L","oxygen_saturation_%","salinity_ppt","dissolved_solids _ppm"
147,"2025-07-04 07:00:00",2025,7,4,7,976,"38.310409","21.784038",23.79,57064.04,-171.71,116.88,46.06,7.97,7.97,94.68,38.18,37211.46
148,"2025-07-04 07:00:00",2025,7,4,7,977,"38.328212","21.876467",25.01,56044.78,-156.70,172.38,105.85,7.72,7.72,93.57,37.37,36546.80
149,"2025-07-04 07:00:00",2025,7,4,7,978,"38.331904","21.842924",23.43,56570.16,-40.06,46.39,24.92,8.75,8.75,102.97,37.79,36889.41
150,"2025-07-04 07:00:00",2025,7,4,7,979,"38.317789","21.818416",23.53,58073.02,280.23,875.73,504.71,6.73,6.73,79.35,39.00,37869.41
151,"2025-07-04 07:00:00",2025,7,4,7,980,"38.30971","21.779349",22.69,62156.58,98.80,104.56,68.37,4.71,4.71,54.42,42.34,40532.31
152,"2025-07-04 07:00:00",2025,7,4,7,981,"38.292904","21.766819",21.29,61572.82,306.17,4.05,0.00,5.55,5.55,62.41,41.86,40151.64
153,"2025-07-04 07:00:00",2025,7,4,7,982,"38.28469","21.759148",21.35,15198.35,307.60,1591.93,1215.07,6.39,6.39,71.80,8.84,8787.69
154,"2025-07-04 07:00:00",2025,7,4,7,983,"38.282368","21.754868",21.79,21919.56,304.06,66.84,30.54,7.14,7.14,81.00,13.17,14293.75
155,"2025-07-04 07:00:00",2025,7,4,7,984,"38.183667","21.678139",21.96,52920.02,306.51,52.40,30.78,6.81,6.81,77.53,34.89,34509.14
156,"2025-07-04 08:00:00",2025,7,4,8,976,"38.310409","21.784038",23.98,57072.64,-169.51,91.25,54.96,8.01,8.01,95.37,38.19,37217.07
157,"2025-07-04 08:00:00",2025,7,4,8,977,"38.328212","21.876467",25.25,55913.52,-156.29,157.37,87.24,8.77,8.77,106.90,37.26,36461.21
158,"2025-07-04 08:00:00",2025,7,4,8,978,"38.331904","21.842924",23.19,56251.73,-29.78,48.14,25.81,10.61,10.61,124.07,37.53,36681.75
159,"2025-07-04 08:00:00",2025,7,4,8,979,"38.317789","21.818416",23.82,58063.64,280.39,854.81,495.73,6.96,6.96,82.54,38.99,37863.30
160,"2025-07-04 08:00:00",2025,7,4,8,980,"38.30971","21.779349",23.12,62173.86,101.06,109.19,72.00,4.82,4.82,56.24,42.35,40543.57
